C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
3506;* 47 Ser                           ;LP?;16 08 28.0757882784 +08 32 03.519267144; -11.462 -6.052     ;4.6276    ;-22.26     ;-0.000074   ;-22.26     ;9.03     ;7.34     ;5.73     ;     ~   ;4.522522 ;M4IIIa               
3507;* i Her                            ;*  ;16 45 49.8919480944 +08 34 57.408688488;  -1.776 13.985     ;7.6142    ;-21.29     ;-0.000071   ;-21.29     ;8.62     ;6.68     ;5.15     ;     ~   ;4.512991 ;K5III                
3508;* iot Oph                          ;PM*;16 54 00.4715319173 +10 09 55.300984028;-54.322 -34.908     ;13.1870   ;-14.91     ;-0.000050   ;-14.91     ;3.98     ;4.30     ;4.38     ;     ~   ;4.326058 ;B8V                  
3509;* kap Oph                          ;LP?;16 57 40.0975028128 +09 22 30.104472450;-292.638 -9.948     ;37.1125   ;-55.821    ;-0.000186   ;-55.82     ;5.52     ;4.36     ;3.20     ;2.36     ;2.882089 ;K2III                
3510;* 37 Oph                           ;*  ;17 12 27.8042900160 +10 35 06.560483892;  5.442 -26.270     ;3.5584    ;22.20      ;0.000074    ;22.20      ;8.640    ;6.940    ;5.340    ;     ~   ;4.540046 ;M2III                
3511;* e Oph                            ;PM*;17 18 36.9902276784 +10 51 52.111241856;  7.676 -97.830     ;6.3784    ;38.86      ;0.000130    ;38.86      ;     ~   ;6.550    ;5.020    ;     ~   ;4.438960 ;K4II-III             
3512;HD 157617                          ;*  ;17 23 57.6158315040 +08 51 09.252688284;   4.407 -6.323     ;3.4109    ;13.06      ;0.000044    ;13.06      ;     ~   ;6.999    ;5.763    ;     ~   ;5.389403 ;K1III                
3513;* f Oph                            ;*  ;17 34 36.6947095224 +09 35 12.106990644;   2.005 -8.963     ;8.6746    ;-13.9      ;-0.000046   ;-13.90     ;5.82     ;5.83     ;5.81     ;     ~   ;5.800199 ;A2V                  
3514;* 72 Oph                           ;PM*;18 07 20.9848472070 +09 33 49.848215907; -61.804 79.004     ;38.1263   ;-23.90     ;-0.000080   ;-23.90     ;3.95     ;3.85     ;3.73     ;3.59     ;3.712161 ;A5V                  
3515;* 71 Oph                           ;*  ;18 07 18.3593981592 +08 44 01.922061912;   9.318 29.522     ;12.6023   ;-3.00      ;-0.000010   ;-3.00      ;     ~   ;5.592    ;4.640    ;     ~   ;4.383688 ;G8III                
3516;HD 171802                          ;SB*;18 36 27.8342684736 +09 07 20.969709132;-2.948 -128.948     ;25.0916   ;-22.49     ;-0.000075   ;-22.49     ;     ~   ;5.76     ;5.39     ;     ~   ;5.272436 ;F5III                
3517;* alf Aql                          ;dS*;19 50 46.99855 +08 52 05.9563          ;  536.23 385.29     ;194.95    ;-26.60     ;-0.000089   ;-26.60     ;1.07     ;0.98     ;0.76     ;0.62     ;     ~   ;A7Vn                 
3518;* ups Aql                          ;PM*;19 45 39.9472100640 +07 36 47.366333496;  53.593 -0.223     ;18.884    ;-29.9      ;-0.000100   ;-29.90     ;6.18     ;6.09     ;5.91     ;     ~   ;5.859817 ;A3IV                 
3519;* ksi Aql                          ;** ;19 54 14.8815179040 +08 27 41.235438096;101.694 -81.141     ;17.5183   ;-41.66     ;-0.000139   ;-41.66     ;     ~   ;5.759    ;4.707    ;     ~   ;4.411910 ;G9.5IIIb             
3520;HD 189695                          ;*  ;20 00 58.9762436208 +08 33 27.850936644; 11.597 -14.075     ;4.9878    ;-39.18     ;-0.000131   ;-39.18     ;9.32     ;7.43     ;5.91     ;     ~   ;5.292860 ;K5III                
3521;* tau Aql                          ;*  ;20 04 08.3148798000 +07 16 40.671795252;  14.201 12.049     ;6.0972    ;-28.938601 ;-0.000097   ;-28.94     ;     ~   ;6.564    ;5.508    ;     ~   ;5.223519 ;K0III                
3522;* 16 Ser                           ;SB*;15 36 29.5738934952 +10 00 36.529391340;42.906 -123.903     ;14.3095   ;2.94       ;0.000010    ;2.94       ;     ~   ;6.217    ;5.253    ;     ~   ;5.014866 ;K0III:CN1Ba0.7Sr2    
3523;* h Her                            ;PM*;16 32 36.2919789280 +11 29 16.948144457;-178.695 -79.223    ;8.9523    ;2.92       ;0.000010    ;2.92       ;8.16     ;6.34     ;4.85     ;3.65     ;4.232570 ;K4.5III              
3524;HD 151862                          ;*  ;16 49 34.6579164096 +13 15 40.095448992;-27.095 -25.608     ;10.8467   ;-23.3      ;-0.000078   ;-23.30     ;     ~   ;5.94     ;5.91     ;     ~   ;5.931233 ;A1V                  
3525;* 33 Oph                           ;*  ;17 03 39.3020359104 +13 36 19.251315216;-21.422 -33.290     ;12.2259   ;-30.78     ;-0.000103   ;-30.78     ;     ~   ;5.913    ;5.908    ;     ~   ;5.913402 ;A1V                  
3526;* 60 Her                           ;PM*;17 05 22.6904232168 +12 44 26.975378148; 49.982 -11.622     ;23.6844   ;-4.2       ;-0.000014   ;-4.20      ;     ~   ;5.001    ;4.871    ;     ~   ;4.848533 ;A3V                  
3527;* alf Oph                          ;** ;17 34 56.06945 +12 33 36.1346          ; 108.07 -221.57     ;67.13     ;11.70      ;0.000039    ;11.70      ;2.32     ;2.22     ;2.07     ;1.93     ;2.108286 ;A5IVnn               
3528;HD 169111                          ;*  ;18 22 35.3186052240 +12 01 46.851351888;   8.971 15.240     ;7.0611    ;-55.3      ;-0.000184   ;-55.29     ;6.080    ;6.030    ;5.980    ;     ~   ;5.972328 ;A2V                  
3529;* 18 Aql                           ;SB*;19 06 58.6028933 +11 04 16.417338      ;   -0.89 -32.11     ;4.67      ;-18.6      ;-0.000062   ;-18.60     ;     ~   ;5.017    ;5.086    ;     ~   ;5.472277 ;B8III                
3530;* ome01 Aql                        ;*  ;19 17 48.9991811544 +11 35 43.527916248;   1.070 13.640     ;8.266     ;-14.3      ;-0.000048   ;-14.30     ;     ~   ;5.461    ;5.283    ;     ~   ;5.241356 ;F0IV                 
3531;* 28 Aql                           ;*  ;19 19 39.3480150048 +12 22 28.845689412;   4.249 16.199     ;9.5836    ;4.61       ;0.000015    ;4.61       ;     ~   ;5.766    ;5.518    ;     ~   ;5.464954 ;F0III                
3532;HD 182900                          ;PM*;19 26 24.1347183384 +13 01 25.691102256;  13.570 59.465     ;17.5857   ;-33.43     ;-0.000112   ;-33.43     ;     ~   ;6.211    ;5.754    ;     ~   ;5.651722 ;F6III                
3533;HD 185018                          ;*  ;19 36 52.4545556280 +11 16 23.522333484;    8.359 1.802     ;3.217     ;0.50       ;0.000002    ;0.50       ;     ~   ;6.834    ;5.975    ;     ~   ;5.749049 ;G0Ib-II              
3534;* chi Aql                          ;** ;19 42 34.00828 +11 49 35.7023          ;    1.75 -10.11     ;3.82      ;-17.37     ;-0.000058   ;-17.37     ;5.880    ;5.870    ;5.310    ;     ~   ;5.0420   ;G2Ib+B5.5            
3535;* pi. Aql                          ;** ;19 48 42.0576531 +11 48 57.217672      ;   16.16 -10.60     ;6.34      ;12.6       ;0.000042    ;12.60      ;6.520    ;6.230    ;5.740    ;6.58     ;     ~   ;G8III+A3V            
3536;* gam Aql                          ;*  ;19 46 15.5789542266 +10 36 47.731401477;  16.233 -1.354     ;5.5899    ;-2.693     ;-0.000009   ;-2.69      ;5.93     ;4.23     ;2.72     ;1.65     ;2.223692 ;K3II                 
3537;* phi Aql                          ;SB*;19 56 14.2519125984 +11 25 25.401080424;   32.745 5.630     ;14.7474   ;-27.2      ;-0.000091   ;-27.20     ;     ~   ;5.283    ;5.278    ;     ~   ;5.272296 ;A1IV                 
3538;* chi Ser                          ;a2*;15 41 47.4147355608 +12 50 51.093705840;  39.045 -2.923     ;14.7221   ;1.90       ;0.000006    ;1.90       ;5.42     ;5.37     ;5.33     ;5.28     ;5.313911 ;A2VpMnEu(Sr)         
3539;* ups Ser                          ;PM*;15 47 17.3129988456 +14 06 55.492778952; -56.044 32.670     ;13.1572   ;-34.2      ;-0.000114   ;-34.20     ;     ~   ;5.802    ;5.709    ;     ~   ;5.683834 ;A3V                  
3540;HD 141353                          ;PM*;15 48 13.3058971968 +13 47 20.689003212;-9.618 -104.750     ;6.8796    ;-54.41     ;-0.000181   ;-54.41     ;     ~   ;7.272    ;5.970    ;     ~   ;5.568318 ;K2III                
3541;* phi Ser                          ;PM*;15 57 14.5708375584 +14 24 52.132920192;-122.563 87.140     ;13.5182   ;-70.61     ;-0.000236   ;-70.60     ;     ~   ;6.677    ;5.530    ;     ~   ;5.201742 ;K2III+               
3542;* ome Her                          ;a2*;16 25 24.9546742056 +14 01 59.762072676; 38.682 -59.551     ;13.1034   ;-5.90      ;-0.000020   ;-5.90      ;4.53     ;4.57     ;4.58     ;4.51     ;4.573544 ;A2VpCrSr             
3543;HD 151203                          ;PM*;16 45 22.5176417760 +15 44 43.011801924; 27.535 -49.327     ;5.8035    ;-25.02     ;-0.000083   ;-25.02     ;     ~   ;7.232    ;5.619    ;     ~   ;4.598960 ;M3IIIab              
3544;* 32 Oph                           ;PM*;17 03 07.8711020736 +14 05 31.013994084; 25.226 -62.651     ;8.0197    ;43.15      ;0.000144    ;43.15      ;8.51     ;6.58     ;4.98     ;3.54     ;4.059279 ;M3-III               
3545;* alf Her B                        ;SB*;17 14 39.1724224693 +14 23 24.008038035;  -8.332 41.390     ;9.9114    ;-36.7      ;-0.000122   ;-36.70     ;     ~   ;6.030    ;5.322    ;     ~   ;5.238958 ;G5III+F2V:           
3546;* alf Her A                        ;LP*;17 14 38.852741 +14 23 25.33577        ;     -17.0 47.0     ;      ~   ;-33.1      ;-0.000110   ;-33.10     ;     ~   ;4.67     ;3.33     ;     ~   ;     ~   ;M5Ib-II              
3547;HD 157740                          ;*  ;17 24 31.5370934928 +16 18 03.626024256; 12.590 -28.352     ;8.1743    ;11.2       ;0.000037    ;11.20      ;     ~   ;5.806    ;5.736    ;     ~   ;5.732534 ;A3V                  
3548;HD 159353                          ;PM*;17 33 39.3894524016 +16 19 03.166732416; -0.307 -55.438     ;10.1079   ;-23.69     ;-0.000079   ;-23.69     ;     ~   ;6.681    ;5.672    ;     ~   ;5.412944 ;K0III                
3549;HD 160910                          ;PM*;17 41 58.6315350936 +15 57 08.760391308; -1.868 101.120     ;28.5131   ;-39.34     ;-0.000131   ;-39.34     ;5.880    ;5.920    ;5.540    ;     ~   ;5.458743 ;F4Vw                 
3550;* 93 Her                           ;*  ;18 00 03.4165173504 +16 45 03.304594368; -7.269 -10.923     ;4.3043    ;-24.47     ;-0.000082   ;-24.47     ;7.15     ;5.93     ;4.67     ;3.80     ;4.313834 ;K0.5IIb              
3551;* eps Aql                          ;SB*;18 59 37.3563787320 +15 04 05.811749256;-51.062 -69.439     ;18.1821   ;-45.90     ;-0.000153   ;-45.90     ;6.14     ;5.10     ;4.02     ;3.26     ;3.726734 ;K1-IIICN0.5          
3552;* 10 Aql                           ;a2*;18 58 46.9240671288 +13 54 23.941711692;  0.238 -47.108     ;13.3917   ;17.298     ;0.000058    ;17.30      ;6.23     ;6.14     ;5.89     ;     ~   ;5.866344 ;A7VpSrEu_Ksn         
3553;* zet Aql                          ;PM*;19 05 24.6080155 +13 51 48.518212      ; -6.575 -95.909     ;38.2329   ;-25.00     ;-0.000083   ;-25.00     ;2.99     ;3.00     ;2.99     ;2.98     ;3.001118 ;A0IV-Vnn             
3554;* 11 Aql                           ;PM*;18 59 05.7387801960 +13 37 20.074337544;14.853 -124.527     ;20.9316   ;13.870     ;0.000046    ;13.87      ;     ~   ;5.788    ;5.258    ;     ~   ;5.117089 ;F8V                  
3555;HD 180262                          ;*  ;19 15 20.0902287360 +15 05 01.149801756;  1.178 -10.948     ;5.392     ;-24.42     ;-0.000081   ;-24.42     ;     ~   ;6.621    ;5.571    ;     ~   ;5.288018 ;G8II-III             
3556;HD 180555                          ;** ;19 16 26.7940882536 +14 32 40.602698268;    0.051 6.460     ;8.2599    ;-27.23     ;-0.000091   ;-27.23     ;     ~   ;5.64     ;5.67     ;     ~   ;5.661993 ;B9.5V                
3557;HD 183492                          ;RG*;19 29 22.1540342928 +14 35 45.669109020; 49.836 -23.880     ;10.8726   ;-41.36     ;-0.000138   ;-41.36     ;     ~   ;6.618    ;5.564    ;     ~   ;5.288270 ;K0III                
3558;V* QS Aql                          ;SB*;19 41 05.5283099 +13 48 56.450213      ;   -0.04 -11.47     ;0.49      ;-16.13     ;-0.000054   ;-16.13     ;     ~   ;5.91     ;5.99     ;     ~   ;6.194879 ;B5V                  
3559;HD 193472                          ;*  ;20 20 00.1886565264 +13 32 53.118564252;  -3.900 -5.007     ;11.5644   ;-8.00      ;-0.000027   ;-8.00      ;     ~   ;6.251    ;5.938    ;     ~   ;5.899871 ;A5m                  
3560;* eta Del                          ;PM*;20 33 57.0419447520 +13 01 37.933915620;  69.654 39.707     ;18.1436   ;-21.85     ;-0.000073   ;-21.85     ;     ~   ;5.453    ;5.380    ;     ~   ;5.379509 ;A3IVs                
3561;* eps Del                          ;*  ;20 33 12.7728639045 +11 18 11.758994803; 10.915 -19.606     ;8.9149    ;-19.40     ;-0.000065   ;-19.40     ;3.43     ;3.90     ;4.03     ;4.05     ;4.015604 ;B6IV                 
3562;* iot Del                          ;SB*;20 37 49.1197657584 +11 22 39.630833580;  38.867 -8.609     ;16.6478   ;-3.9       ;-0.000013   ;-3.90      ;     ~   ;5.466    ;5.418    ;     ~   ;5.418500 ;A1IV                 
3563;* 15 Del                           ;PM*;20 49 37.7673041328 +12 32 42.458877780;  52.776 97.020     ;33.0028   ;4.613      ;0.000015    ;4.61       ;     ~   ;6.421    ;5.991    ;     ~   ;5.888552 ;F5V                  
3564;* 18 Del                           ;PM*;20 58 25.9335294984 +10 50 21.430869504;-49.921 -34.509     ;13.3021   ;4.35       ;0.000015    ;4.35       ;     ~   ;6.432    ;5.506    ;     ~   ;5.269335 ;G6III                
3565;* tau01 Ser                        ;*  ;15 25 47.3973646296 +15 25 40.930863888; -13.172 -7.790     ;3.9411    ;-16.51     ;-0.000055   ;-16.51     ;8.78     ;6.83     ;5.17     ;     ~   ;4.413493 ;M1III                
3566;* tau05 Ser                        ;PM*;15 36 29.2396274568 +16 07 08.703225048;  72.175 -5.217     ;19.2694   ;-10.37     ;-0.000035   ;-10.37     ;     ~   ;6.255    ;5.926    ;     ~   ;5.854312 ;F3V                  
3567;* tau06 Ser                        ;*  ;15 40 59.1004395816 +16 01 28.521219360; 21.853 -16.611     ;7.1383    ;3.96       ;0.000013    ;3.96       ;     ~   ;6.896    ;5.991    ;     ~   ;5.763762 ;G8III                
3568;* bet Ser                          ;PM*;15 46 11.2551806454 +15 25 18.549468647; 65.958 -47.791     ;21.5924   ;0.60       ;0.000002    ;0.60       ;3.81     ;3.73     ;3.67     ;3.61     ;3.653779 ;A2IV                 
3569;* gam Ser                          ;PM*;15 56 27.1826577018 +15 39 41.809580382;311.183 -1282.767   ;89.5647   ;6.523      ;0.000022    ;6.52       ;4.31     ;4.34     ;3.84     ;3.37     ;3.694426 ;F6V                  
3570;* kap Her A                        ;*  ;16 08 04.5256427568 +17 02 49.119104724; -34.067 -6.700     ;8.2812    ;-10.12     ;-0.000034   ;-10.12     ;     ~   ;5.927    ;4.994    ;     ~   ;4.744740 ;G7III                
3571;* 54 Her                           ;PM*;16 55 22.1676082464 +18 25 59.563362468;-113.970 11.482     ;9.0037    ;10.98      ;0.000037    ;10.98      ;     ~   ;6.774    ;5.354    ;     ~   ;4.854032 ;K4III-IV             
3572;V* V656 Her                        ;LP?;17 20 18.8709414744 +18 03 25.485461172;  7.934 -56.648     ;7.1039    ;-45.66     ;-0.000152   ;-45.66     ;8.68     ;6.62     ;5.00     ;     ~   ;4.244999 ;M2III                
3573;HD 156653                          ;*  ;17 18 04.9427402976 +17 19 04.382069304;  6.307 -11.077     ;6.3943    ;4.26       ;0.000014    ;4.26       ;     ~   ;6.002    ;5.992    ;     ~   ;5.991385 ;A1V                  
3574;V* V640 Her                        ;LP*;17 25 54.3644613216 +16 55 03.280005192; -14.308 16.100     ;4.4863    ;-8.19      ;-0.000027   ;-8.19      ;     ~   ;7.60     ;5.98     ;     ~   ;4.760610 ;M4-5III              
3575;HD 159332                          ;PM*;17 33 22.8242819328 +19 15 24.040331928;-28.567 -91.075     ;25.7869   ;-57.543    ;-0.000192   ;-57.54     ;     ~   ;6.130    ;5.648    ;     ~   ;5.521005 ;F4V                  
3576;HD 161833                          ;** ;17 47 08.0461052401 +17 41 49.283524056; 10.476 -11.810     ;7.6358    ;3.00       ;0.000010    ;3.00       ;5.650    ;5.640    ;5.610    ;     ~   ;5.878662 ;A1V                  
3577;HD 169191                          ;PM*;18 22 49.0396549896 +17 49 35.819693400;  71.457 15.437     ;8.3917    ;-19.24     ;-0.000064   ;-19.24     ;     ~   ;6.499    ;5.249    ;     ~   ;4.855870 ;K3III                
3578;HD 170878                          ;*  ;18 31 04.4486334576 +16 55 42.802383972;-31.857 -21.397     ;8.0721    ;-9.4       ;-0.000031   ;-9.40      ;     ~   ;5.802    ;5.750    ;     ~   ;5.739313 ;A2V                  
3579;HD 171623                          ;** ;18 35 12.5919974496 +18 12 12.293953884;   21.178 2.061     ;6.1984    ;-21.00     ;-0.000070   ;-21.00     ;5.670    ;5.780    ;5.790    ;     ~   ;5.760543 ;A0Vn                 
3580;* 111 Her                          ;PM*;18 47 01.2343128144 +18 10 53.457823992; 98.835 115.120     ;34.9987   ;-44.6      ;-0.000149   ;-44.60     ;4.56     ;4.49     ;4.36     ;4.19     ;4.311657 ;AVa+                 
3581;V* FF Aql                          ;cC*;18 58 14.7483041520 +17 21 39.297557628;  -1.151 -9.823     ;1.9057    ;-20.0606   ;-0.000067   ;-20.06     ;6.61     ;6.18     ;5.38     ;     ~   ;5.170657 ;F6Ib                 
3582;* bet Sge                          ;*  ;19 41 02.9389551192 +17 28 33.752680392;  8.180 -33.113     ;7.3764    ;-21.76     ;-0.000073   ;-21.76     ;6.33     ;5.43     ;4.38     ;3.66     ;4.113627 ;G8IIIaCN0.5          
3583;* eps Sge                          ;*  ;19 37 17.3930683104 +16 27 46.093258116;  16.543 13.955     ;5.7371    ;-32.49     ;-0.000108   ;-32.49     ;     ~   ;6.663    ;5.659    ;     ~   ;5.411448 ;G8IIIv               
3584;* 11 Sge                           ;*  ;19 57 45.4454745624 +16 47 20.978081988;  11.609 18.605     ;7.5596    ;-24.59     ;-0.000082   ;-24.59     ;5.31     ;5.480    ;5.534    ;     ~   ;5.526459 ;B9III                
3585;* 10 Sge                           ;cC*;19 56 01.2628947456 +16 38 05.262056412;   0.375 -7.100     ;1.6673    ;-30.0176   ;-0.000100   ;-30.02     ;6.45     ;6.03     ;5.36     ;6.81     ;5.461868 ;F7Ib                 
3586;* 14 Sge                           ;SB*;20 03 30.0147595968 +16 01 52.508306604;   5.420 -8.189     ;4.9546    ;-15.41     ;-0.000051   ;-15.41     ;5.39     ;5.550    ;5.658    ;     ~   ;5.640601 ;B9pHgMn              
3587;* rho Aql                          ;PM*;20 14 16.6186826232 +15 11 51.386417088;  55.446 57.339     ;20.9054   ;-23.0      ;-0.000077   ;-23.00     ;     ~   ;5.006    ;4.946    ;     ~   ;4.923669 ;A1Va                 
3588;* zet Del                          ;*  ;20 35 18.5362051999 +14 40 27.173946047;  45.504 11.510     ;14.9441   ;-27.68     ;-0.000092   ;-27.68     ;     ~   ;4.738    ;4.647    ;     ~   ;4.614309 ;A3Va                 
3589;* bet Del                          ;** ;20 37 32.94130 +14 35 42.3195          ;  118.09 -48.06     ;32.33     ;-32.57     ;-0.000109   ;-32.57     ;4.16     ;4.07     ;3.63     ;3.23     ;3.999137 ;F5IV                 
3590;* tet Del                          ;s*r;20 38 43.9865193912 +13 18 54.455461128;    2.985 0.088     ;1.6865    ;-15.09     ;-0.000050   ;-15.09     ;8.91     ;7.23     ;5.71     ;4.63     ;5.190834 ;K3Ib                 
3591;* 10 Del                           ;*  ;20 41 16.2079342944 +14 34 58.360616292;  -9.462 -0.344     ;6.6178    ;-24.829599 ;-0.000083   ;-24.83     ;     ~   ;7.247    ;5.998    ;     ~   ;5.639522 ;K4III:               
3592;* del Del                          ;dS*;20 43 27.5335534492 +15 04 28.483265446;-20.663 -42.983     ;14.7809   ;9.3        ;0.000031    ;9.30       ;     ~   ;4.701    ;4.417    ;     ~   ;4.329188 ;kA7hF1VmF1pSrEuCr:   
3593;* 17 Del                           ;*  ;20 55 36.6889904832 +13 43 17.530583664; 16.457 -11.468     ;6.3132    ;-11.09     ;-0.000037   ;-11.09     ;     ~   ;6.293    ;5.182    ;     ~   ;4.867437 ;K0III                
3594;* 16 Del                           ;** ;20 55 38.5698407208 +12 34 06.877431480;  39.558 27.772     ;16.4866   ;8.76       ;0.000029    ;8.76       ;5.740    ;5.650    ;5.540    ;     ~   ;5.520574 ;A5V                  
3595;* tau07 Ser                        ;** ;15 41 54.7165814280 +18 27 50.531406696; -61.654 54.319     ;18.7185   ;-31.38     ;-0.000105   ;-31.38     ;     ~   ;5.994    ;5.792    ;     ~   ;5.769212 ;A8Vam                
3596;* kap Ser                          ;PM*;15 48 44.3772022650 +18 08 29.633668968;-52.407 -88.419     ;8.5231    ;-38.48     ;-0.000128   ;-38.48     ;7.66     ;5.71     ;4.09     ;2.84     ;3.348804 ;M0.5IIIab            
3597;* 16 Her                           ;PM*;16 15 28.6349735016 +18 48 29.117594304;-68.674 -84.561     ;10.7115   ;-19.34     ;-0.000065   ;-19.34     ;7.82     ;6.81     ;5.69     ;     ~   ;5.413513 ;K3III                
3598;* gam Her                          ;PM*;16 21 55.2146227867 +19 09 11.262744388; -47.283 43.139     ;16.8670   ;-30.73     ;-0.000102   ;-30.73     ;4.22     ;4.03     ;3.76     ;3.47     ;3.691747 ;A9IIIbn              
3599;* s Her                            ;RG*;16 30 33.5484796848 +20 28 45.074511516;-89.230 -65.160     ;4.7137    ;17.759300  ;0.000059    ;17.76      ;     ~   ;6.484    ;5.243    ;     ~   ;4.796258 ;G8.5IIICN-2CH-1Fe-1  
3600;HD 152815                          ;PM*;16 54 55.1703340272 +20 57 30.565908396;   56.409 2.501     ;11.1644   ;-1.67      ;-0.000006   ;-1.67      ;     ~   ;6.351    ;5.387    ;     ~   ;5.134241 ;G8III                
3601;HD 158148                          ;SB*;17 26 49.1282232504 +20 04 51.515964804;   1.440 15.903     ;5.3597    ;-29.5      ;-0.000098   ;-29.50     ;     ~   ;5.388    ;5.514    ;     ~   ;5.493369 ;B5V                  
3602;HD 162076                          ;*  ;17 48 24.7678741632 +20 33 55.582920684;   24.591 5.038     ;12.119    ;-26.39     ;-0.000088   ;-26.39     ;     ~   ;6.642    ;5.687    ;     ~   ;5.437513 ;G5IV                 
3603;HD 163547                          ;*  ;17 55 50.8104150864 +22 27 51.194073276;  -1.881 -1.420     ;7.1569    ;-44.27     ;-0.000148   ;-44.27     ;     ~   ;6.870    ;5.619    ;     ~   ;5.244923 ;K3III                
3604;* 98 Her                           ;*  ;18 06 01.9005583464 +22 13 07.952584008; -12.557 -6.890     ;5.5451    ;-19.48     ;-0.000065   ;-19.48     ;8.57     ;6.64     ;5.06     ;     ~   ;3.955155 ;M3-SIII              
3605;* 96 Her                           ;SB*;18 02 23.0471258304 +20 50 01.086774072;   0.178 -9.369     ;3.3399    ;-14.9      ;-0.000050   ;-14.90     ;4.57     ;5.141    ;5.249    ;     ~   ;5.192790 ;B3IV                 
3606;* 102 Her                          ;*  ;18 08 45.4919267342 +20 48 52.404584093;  -2.073 -6.513     ;2.8036    ;-14.90     ;-0.000050   ;-14.90     ;3.38     ;4.177    ;4.347    ;     ~   ;4.334155 ;B2IV                 
3607;* 101 Her                          ;*  ;18 08 52.8638629248 +20 02 42.838723104;  9.056 -20.830     ;9.5493    ;-16.3      ;-0.000054   ;-16.30     ;     ~   ;5.259    ;5.099    ;     ~   ;5.059922 ;A8III                
3608;* 106 Her                          ;PM*;18 20 17.9149366104 +21 57 40.667073804; 17.962 -59.923     ;8.3436    ;-35.20     ;-0.000117   ;-35.20     ;8.54     ;6.54     ;4.96     ;3.62     ;4.187761 ;M1III                
3609;* 109 Her                          ;** ;18 23 41.8897062084 +21 46 11.109609046;195.971 -243.234    ;26.9636   ;-58.16     ;-0.000194   ;-58.15     ;6.18     ;5.02     ;3.84     ;2.99     ;3.487343 ;K2IIIab              
3610;* 110 Her                          ;PM*;18 45 39.7256792847 +20 32 46.713086264;-9.086 -335.655     ;51.6743   ;22.772     ;0.000076    ;22.77      ;4.66     ;4.65     ;4.19     ;3.80     ;4.078641 ;F5.5IV-V             
3611;* 112 Her                          ;SB*;18 52 16.4279808528 +21 25 30.512193132; -7.526 -10.231     ;7.8558    ;-19.8      ;-0.000066   ;-19.80     ;4.83     ;5.304    ;5.393    ;     ~   ;5.377762 ;B9pHg                
3612;HD 174262                          ;*  ;18 48 53.3862583776 +19 19 43.379146992; 15.849 -17.889     ;11.2782   ;5.9        ;0.000020    ;5.90       ;     ~   ;5.902    ;5.880    ;     ~   ;5.887765 ;A1V                  
3613;* 1 Sge                            ;*  ;19 15 17.3609310864 +21 13 55.622676936;   35.015 7.515     ;11.8854   ;-23.1      ;-0.000077   ;-23.10     ;     ~   ;5.756    ;5.642    ;     ~   ;5.628496 ;A4V                  
3614;* 4 Vul                            ;PM*;19 25 28.6026797712 +19 47 54.070179072; 87.690 -73.705     ;12.7495   ;0.95       ;0.000003    ;0.95       ;6.95     ;6.14     ;5.16     ;     ~   ;4.868474 ;G9III                
3615;* 5 Vul                            ;*  ;19 26 13.2462108768 +20 05 51.844661412;  3.431 -35.132     ;13.8631   ;-21.2      ;-0.000071   ;-21.20     ;     ~   ;5.585    ;5.591    ;     ~   ;5.594915 ;A0V                  
3616;HD 182955                          ;*  ;19 26 28.6865078856 +19 53 29.381827056;  0.353 -47.507     ;5.6535    ;-31.57     ;-0.000105   ;-31.57     ;9.29     ;7.39     ;5.87     ;4.69     ;5.188395 ;M0III                
3617;* 9 Vul                            ;*  ;19 34 34.8970506960 +19 46 24.242282112;   12.100 5.142     ;5.8317    ;5.00       ;0.000017    ;5.00       ;4.48     ;4.91     ;5.00     ;5.01     ;4.953341 ;B8IIIn               
3618;* alf Sge                          ;*  ;19 40 05.7913315848 +18 00 50.006621484; 15.076 -20.287     ;7.6353    ;1.667      ;0.000006    ;1.67       ;5.59     ;5.16     ;4.38     ;3.79     ;4.171156 ;G1II                 
3619;* del Sge                          ;SB*;19 47 23.2655973192 +18 32 03.528856248;    7.277 0.318     ;5.9674    ;2.5        ;0.000008    ;2.50       ;6.20     ;5.12     ;3.81     ;2.37     ;2.836823 ;M2II+B0V             
3620;* zet Sge                          ;** ;19 48 58.6597780 +19 08 31.351561      ;    17.63 26.27     ;12.79     ;-16.60     ;-0.000055   ;-16.60     ;     ~   ;5.105    ;5.034    ;6.62     ;5.452353 ;A3V                  
3621;* gam Sge                          ;PM*;19 58 45.4282303572 +19 29 31.726069716;  65.005 22.721     ;11.3375   ;-33.591    ;-0.000112   ;-33.59     ;6.97     ;5.04     ;3.47     ;2.27     ;2.859363 ;M0-III               
3622;HD 190211                          ;*  ;20 03 16.3996023504 +18 30 03.576022920; 11.322 -19.450     ;3.9791    ;8.16       ;0.000027    ;8.16       ;     ~   ;7.375    ;5.968    ;     ~   ;5.520017 ;K3II-III             
