C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
90  ;* bet Lac                          ;** ;22 23 33.6233135918 +52 13 44.568181879;-13.933 -186.664    ;19.3014   ;-11.02     ;-0.000037   ;-11.02     ;6.26     ;5.46     ;4.44     ;3.67     ;4.130943 ;G9IIIbCa1            
91  ;HD 214878                          ;*  ;22 40 18.4069877640 +53 50 45.336101820;  6.187 -18.724     ;9.4485    ;-6.10      ;-0.000020   ;-6.10      ;     ~   ;6.877    ;5.920    ;     ~   ;5.686603 ;K0III                
92  ;V* V1022 Cas                       ;SB*;23 57 08.4720606576 +55 42 20.539344420;-20.899 -12.336     ;15.7172   ;10.30      ;0.000034    ;10.30      ;     ~   ;6.033    ;5.561    ;     ~   ;5.449310 ;F6V                  
93  ;HD 4222                            ;*  ;00 45 17.1736522992 +55 13 17.030998092; -29.935 -5.616     ;9.2342    ;-8.5       ;-0.000028   ;-8.50      ;     ~   ;5.423    ;5.410    ;     ~   ;5.411243 ;A2Vs                 
94  ;HD 3240                            ;*  ;00 36 08.3101957104 +54 10 06.419675676;  22.954 -1.905     ;6.6398    ;1.1        ;0.000004    ;1.10       ;4.58     ;4.967    ;5.076    ;     ~   ;5.055149 ;B8IV                 
95  ;* zet Cas                          ;bC?;00 36 58.2844874846 +53 53 48.877599163;  17.444 -9.523     ;6.6657    ;-0.20      ;-0.000001   ;-0.20      ;2.58     ;3.47     ;3.66     ;3.74     ;3.664362 ;B2IV                 
96  ;HD 2952                            ;PM*;00 33 10.3944926208 +54 53 41.949623868; 70.291 -39.095     ;9.1205    ;-34.86     ;-0.000116   ;-34.86     ;     ~   ;6.959    ;5.922    ;     ~   ;5.651140 ;K0III                
97  ;* lam Cas A                        ;*  ;00 31 46.316736 +54 31 20.32284        ;            ~ ~     ;      ~   ;~          ;~           ;~          ;     ~   ;5.24     ;5.35     ;     ~   ;     ~   ;B7.5V                
98  ;HD 6211                            ;PM*;01 04 02.3905242984 +52 30 07.782640236;  1.014 -60.625     ;5.0346    ;-7.0       ;-0.000023   ;-7.00      ;     ~   ;7.434    ;5.977    ;     ~   ;5.454766 ;K2                   
99  ;* mu. Cas                          ;SB*;01 08 16.3029454473 +54 55 12.561201263;3468.251 -1564.844  ;130.2881  ;-96.488899 ;-0.000322   ;-96.47     ;5.93     ;5.86     ;5.17     ;4.55     ;4.948012 ;G5Vb                 
100 ;HD 11151                           ;PM*;01 50 57.1281289032 +51 56 00.303705744;41.880 -114.965     ;22.7021   ;-16.42     ;-0.000055   ;-16.42     ;     ~   ;6.385    ;5.951    ;     ~   ;5.855865 ;F5IV                 
101 ;* 2 Per                            ;SB*;01 52 09.3723086736 +50 47 34.054111608; 17.532 -29.090     ;6.8219    ;4.59       ;0.000015    ;4.59       ;5.38     ;5.623    ;5.689    ;     ~   ;5.683458 ;B9pHgMn              
102 ;* 65 And                           ;*  ;02 25 37.4229761208 +50 16 43.063334724; 24.289 -14.483     ;7.6317    ;-4.93      ;-0.000016   ;-4.93      ;     ~   ;6.249    ;4.710    ;     ~   ;4.117402 ;K4.5III              
103 ;* 63 And                           ;a2*;02 20 58.2015432888 +50 09 05.385224196; 39.818 -31.607     ;8.5275    ;-0.30      ;-0.000001   ;-0.30      ;     ~   ;5.46     ;5.59     ;     ~   ;5.531337 ;B9VpSi               
104 ;* 64 And                           ;*  ;02 24 24.9159941400 +50 00 23.555997036; 24.574 -35.977     ;8.0682    ;-13.34     ;-0.000044   ;-13.34     ;6.93     ;6.17     ;5.19     ;     ~   ;4.930211 ;G8III                
105 ;HD 17656                           ;*  ;02 51 41.7299294160 +46 50 30.990321528;-26.247 -24.784     ;8.4081    ;-11.71     ;-0.000039   ;-11.71     ;     ~   ;6.762    ;5.859    ;     ~   ;5.629792 ;G8III                
106 ;* kap Per                          ;PM*;03 09 29.8036400506 +44 51 26.849828627;165.691 -138.559    ;28.7314   ;29.40      ;0.000098    ;29.40      ;5.62     ;4.79     ;3.81     ;3.07     ;3.535792 ;G9.5IIIb             
107 ;* 30 Per                           ;SB*;03 17 47.3530021152 +44 01 30.081905148; 27.233 -24.503     ;4.9025    ;4.00       ;0.000013    ;4.00       ;5.07     ;5.409    ;5.476    ;     ~   ;5.462602 ;B8V                  
108 ;* l Per                            ;PM*;03 21 26.5587601200 +43 19 46.743124584; -61.008 -0.964     ;20.9522   ;-12.59     ;-0.000042   ;-12.59     ;     ~   ;5.006    ;4.946    ;     ~   ;4.930196 ;A3V                  
109 ;V* IW Per                          ;SB*;03 33 35.0341163808 +39 53 58.116630120; 15.466 -46.526     ;17.7106   ;11.44      ;0.000038    ;11.44      ;     ~   ;5.909    ;5.776    ;     ~   ;5.777679 ;A3V                  
110 ;HD 193322A                         ;SB*;20 18 06.9878053728 +40 43 55.501814100;  -2.488 -6.837     ;1.0669    ;~          ;~           ;~          ;     ~   ;6.004    ;5.958    ;     ~   ;5.896626 ;O9IV(n)              
